,o,d,w,geometry
119,42,59,70,"LINESTRING (67.11609055 36.69681358, 65.74920704 36.68168619)"
120,33,79,167,"LINESTRING (62.20145163 34.33952939, 64.40820458 31.60953352)"
121,80,79,90,"LINESTRING (64.0384184 29.4371003, 64.40820458 31.60953352)"
122,33,83,257,"LINESTRING (62.20145163 34.33952939, 60.83747644 34.52863651)"
123,66,83,338,"LINESTRING (59.21328001 35.27868594, 60.83747644 34.52863651)"
124,34,61,156,"LINESTRING (28.98070043 41.00778604, 42.28149859 38.50486424)"
125,72,61,163,"LINESTRING (43.37413414 38.50423991, 42.28149859 38.50486424)"
126,34,82,145,"LINESTRING (28.98070043 41.00778604, 43.0978799 40.60092735)"
127,62,82,187,"LINESTRING (44.82710578 41.71513710000001, 43.0978799 40.60092735)"
128,84,82,15,"LINESTRING (45.05190277 41.50592851, 43.0978799 40.60092735)"
129,35,54,348,"LINESTRING (67.85315559 40.13305512, 66.98020844 39.62957641)"
130,37,54,452,"LINESTRING (65.78841394 38.82557846, 66.98020844 39.62957641)"
131,39,54,587,"LINESTRING (63.74607083 39.36407461, 66.98020844 39.62957641)"
132,60,54,794,"LINESTRING (69.23343231 41.26065019, 66.98020844 39.62957641)"
133,36,49,89,"LINESTRING (72.86263520999999 40.70247245, 72.81062618 40.52017458)"
134,36,70,88,"LINESTRING (72.86263520999999 40.70247245, 75.41075578 40.5748001)"
135,38,70,1,"LINESTRING (75.99370752999999 39.46768501, 75.41075578 40.5748001)"
136,37,22,89,"LINESTRING (65.78841394 38.82557846, 68.78590278999999 38.55653717)"
137,37,39,263,"LINESTRING (65.78841394 38.82557846, 63.74607083 39.36407461)"
138,54,39,587,"LINESTRING (66.98020844 39.62957641, 63.74607083 39.36407461)"
139,68,39,827,"LINESTRING (63.57481917 39.08876273, 63.74607083 39.36407461)"
140,39,68,827,"LINESTRING (63.74607083 39.36407461, 63.57481917 39.08876273)"
141,68b,68,802,"LINESTRING (63.57481917 39.08876273, 63.57481917 39.08876273)"
142,41,47,89,"LINESTRING (30.52222268 50.44866769, 30.72329767 46.48276031)"
143,42,31,419,"LINESTRING (67.11609055 36.69681358, 67.42061344 37.21137416)"
144,65,31,496,"LINESTRING (67.28312911 37.21646347, 67.42061344 37.21137416)"
145,42,89,292,"LINESTRING (67.11609055 36.69681358, 69.19380137 34.50670823)"
146,94,89,215,"LINESTRING (71.11171118999999 34.19162304, 69.19380137 34.50670823)"
147,43,8,294,"LINESTRING (61.91467015 37.52891078, 58.31629783 37.94392081)"
148,67,8,245,"LINESTRING (52.96318620000001 40.02016264, 58.31629783 37.94392081)"
149,43,58,754,"LINESTRING (61.91467015 37.52891078, 61.15050175 37.41207242)"
150,55,58,713,"LINESTRING (61.15922124 36.54104309, 61.15050175 37.41207242)"
151,43,68b,787,"LINESTRING (61.91467015 37.52891078, 63.57481917 39.08876273)"
152,68,68b,802,"LINESTRING (63.57481917 39.08876273, 63.57481917 39.08876273)"
153,45,26,529,"LINESTRING (59.61582533 36.26611183, 52.34042847 35.21924642)"
154,57,26,528,"LINESTRING (53.05863279 36.565873, 52.34042847 35.21924642)"
155,45,55,678,"LINESTRING (59.61582533 36.26611183, 61.15922124 36.54104309)"
156,58,55,713,"LINESTRING (61.15050175 37.41207242, 61.15922124 36.54104309)"
157,45,63,338,"LINESTRING (59.61582533 36.26611183, 51.42322354 35.69698355)"
158,52,63,275,"LINESTRING (44.34096705 38.48807268, 51.42322354 35.69698355)"
159,46,77,287,"LINESTRING (73.64416328999999 47.31926529, 72.83405148999999 48.85597607)"
160,78,77,364,"LINESTRING (67.70239591000001 47.79641488, 72.83405148999999 48.85597607)"
161,50,6,308,"LINESTRING (71.10627429 40.88094522, 70.07422952 41.00845288)"
162,60,6,307,"LINESTRING (69.23343231 41.26065019, 70.07422952 41.00845288)"
163,52,72,216,"LINESTRING (44.34096705 38.48807268, 43.37413414 38.50423991)"
164,61,72,163,"LINESTRING (42.28149859 38.50486424, 43.37413414 38.50423991)"
165,53,2,1000,"LINESTRING (60.31394877 47.04978092, 57.16692971 50.28388335)"
166,87,2,945,"LINESTRING (56.20262023 50.84645319, 57.16692971 50.28388335)"
167,53,78,439,"LINESTRING (60.31394877 47.04978092, 67.70239591000001 47.79641488)"
168,77,78,364,"LINESTRING (72.83405148999999 48.85597607, 67.70239591000001 47.79641488)"
169,56,29,768,"LINESTRING (45.95946903 51.59256682, 39.95971603 52.49085216)"
170,74,29,709,"LINESTRING (39.20856173 51.67575155, 39.95971603 52.49085216)"
171,56,48,829,"LINESTRING (45.95946903 51.59256682, 55.13169023 51.80194159)"
172,87,48,888,"LINESTRING (56.20262023 50.84645319, 55.13169023 51.80194159)"
173,57,28,527,"LINESTRING (53.05863279 36.565873, 54.44019416 36.84348588)"
174,85,28,524,"LINESTRING (54.07386257 37.06484182, 54.44019416 36.84348588)"
175,59,33,31,"LINESTRING (65.74920704 36.68168619, 62.20145163 34.33952939)"
176,79,33,167,"LINESTRING (64.40820458 31.60953352, 62.20145163 34.33952939)"
177,83,33,257,"LINESTRING (60.83747644 34.52863651, 62.20145163 34.33952939)"
178,62,51,89,"LINESTRING (44.82710578 41.71513710000001, 41.67139822 42.15826004)"
179,62,84,74,"LINESTRING (44.82710578 41.71513710000001, 45.05190277 41.50592851)"
180,82,84,15,"LINESTRING (43.0978799 40.60092735, 45.05190277 41.50592851)"
181,63,52,275,"LINESTRING (51.42322354 35.69698355, 44.34096705 38.48807268)"
182,72,52,216,"LINESTRING (43.37413414 38.50423991, 44.34096705 38.48807268)"
183,66,12,505,"LINESTRING (59.21328001 35.27868594, 59.75 32.04)"
184,76,12,428,"LINESTRING (60.88055637 29.49568135, 59.75 32.04)"
185,69,38,88,"LINESTRING (89.18466843 42.94997926, 75.99370752999999 39.46768501)"
186,70,38,1,"LINESTRING (75.41075578 40.5748001, 75.99370752999999 39.46768501)"
187,73,18,102,"LINESTRING (16.37753292 48.19377011, 23.76366624 52.09965070000001)"
188,75,18,387,"LINESTRING (20.97265547 52.17848205, 23.76366624 52.09965070000001)"
189,18b,18,534,"LINESTRING (23.76366624 52.09965070000001, 23.76366624 52.09965070000001)"
190,74,27,648,"LINESTRING (39.20856173 51.67575155, 30.99317931 52.43127856)"
191,18b,27,589,"LINESTRING (23.76366624 52.09965070000001, 30.99317931 52.43127856)"
192,76,20,351,"LINESTRING (60.88055637 29.49568135, 60.6459286 25.29687798)"
193,91,20,89,"LINESTRING (72.92574618 19.02476851, 60.6459286 25.29687798)"
194,93,20,199,"LINESTRING (60.7656735 14.76131335, 60.6459286 25.29687798)"
195,79,80,90,"LINESTRING (64.40820458 31.60953352, 64.0384184 29.4371003)"
196,81,80,17,"LINESTRING (62.29134860000001 25.23313981, 64.0384184 29.4371003)"
197,80,81,17,"LINESTRING (64.0384184 29.4371003, 62.29134860000001 25.23313981)"
198,90,81,54,"LINESTRING (67.00109753 24.89698664, 62.29134860000001 25.23313981)"
199,93,81,124,"LINESTRING (60.7656735 14.76131335, 62.29134860000001 25.23313981)"
200,81,90,54,"LINESTRING (62.29134860000001 25.23313981, 67.00109753 24.89698664)"
201,92,90,71,"LINESTRING (71.56378993 34.10942691, 67.00109753 24.89698664)"
202,89,94,215,"LINESTRING (69.19380137 34.50670823, 71.11171118999999 34.19162304)"
203,92,94,142,"LINESTRING (71.56378993 34.10942691, 71.11171118999999 34.19162304)"
204,90,92,71,"LINESTRING (67.00109753 24.89698664, 71.56378993 34.10942691)"
205,94,92,142,"LINESTRING (71.11171118999999 34.19162304, 71.56378993 34.10942691)"
