,o,d,w,geometry
67,30,86,200000,"LINESTRING (55.46618118 40.61855253, 54.08822458 42.62386834)"
68,71,86,200000,"LINESTRING (52.86168652 43.33678337, 54.08822458 42.62386834)"
69,31,42,15351110,"LINESTRING (67.42061344 37.21137416, 67.11609055 36.69681358)"
70,59,42,0,"LINESTRING (65.74920704 36.68168619, 67.11609055 36.69681358)"
71,89,42,15351110,"LINESTRING (69.19380137 34.50670823, 67.11609055 36.69681358)"
72,31,65,15351110,"LINESTRING (67.42061344 37.21137416, 67.28312911 37.21646347)"
73,37,65,15351110,"LINESTRING (65.78841394 38.82557846, 67.28312911 37.21646347)"
74,33,59,0,"LINESTRING (62.20145163 34.33952939, 65.74920704 36.68168619)"
75,42,59,0,"LINESTRING (67.11609055 36.69681358, 65.74920704 36.68168619)"
76,33,79,4020458,"LINESTRING (62.20145163 34.33952939, 64.40820458 31.60953352)"
77,80,79,4020458,"LINESTRING (64.0384184 29.4371003, 64.40820458 31.60953352)"
78,33,83,8525000,"LINESTRING (62.20145163 34.33952939, 60.83747644 34.52863651)"
79,66,83,8525000,"LINESTRING (59.21328001 35.27868594, 60.83747644 34.52863651)"
80,35,54,4862242,"LINESTRING (67.85315559 40.13305512, 66.98020844 39.62957641)"
81,37,54,5582287,"LINESTRING (65.78841394 38.82557846, 66.98020844 39.62957641)"
82,39,54,9839100,"LINESTRING (63.74607083 39.36407461, 66.98020844 39.62957641)"
83,60,54,10616737,"LINESTRING (69.23343231 41.26065019, 66.98020844 39.62957641)"
84,37,22,2609320,"LINESTRING (65.78841394 38.82557846, 68.78590278999999 38.55653717)"
85,37,39,12138325,"LINESTRING (65.78841394 38.82557846, 63.74607083 39.36407461)"
86,54,39,9839100,"LINESTRING (66.98020844 39.62957641, 63.74607083 39.36407461)"
87,68,39,21977425,"LINESTRING (63.57481917 39.08876273, 63.74607083 39.36407461)"
88,39,68,21977425,"LINESTRING (63.74607083 39.36407461, 63.57481917 39.08876273)"
89,68b,68,21977425,"LINESTRING (63.57481917 39.08876273, 63.57481917 39.08876273)"
90,40,69,3280262,"LINESTRING (80.41189971999999 44.21606721, 89.18466843 42.94997926)"
91,42,31,15351110,"LINESTRING (67.11609055 36.69681358, 67.42061344 37.21137416)"
92,65,31,15351110,"LINESTRING (67.28312911 37.21646347, 67.42061344 37.21137416)"
93,42,89,15351110,"LINESTRING (67.11609055 36.69681358, 69.19380137 34.50670823)"
94,94,89,14221492,"LINESTRING (71.11171118999999 34.19162304, 69.19380137 34.50670823)"
95,43,8,2016668,"LINESTRING (61.91467015 37.52891078, 58.31629783 37.94392081)"
96,67,8,235000,"LINESTRING (52.96318620000001 40.02016264, 58.31629783 37.94392081)"
97,43,58,23350757,"LINESTRING (61.91467015 37.52891078, 61.15050175 37.41207242)"
98,55,58,23350757,"LINESTRING (61.15922124 36.54104309, 61.15050175 37.41207242)"
99,43,68b,21977425,"LINESTRING (61.91467015 37.52891078, 63.57481917 39.08876273)"
100,68,68b,21977425,"LINESTRING (63.57481917 39.08876273, 63.57481917 39.08876273)"
101,45,26,200000,"LINESTRING (59.61582533 36.26611183, 52.34042847 35.21924642)"
102,57,26,200000,"LINESTRING (53.05863279 36.565873, 52.34042847 35.21924642)"
103,45,55,23350757,"LINESTRING (59.61582533 36.26611183, 61.15922124 36.54104309)"
104,58,55,23350757,"LINESTRING (61.15050175 37.41207242, 61.15922124 36.54104309)"
105,45,63,18969173,"LINESTRING (59.61582533 36.26611183, 51.42322354 35.69698355)"
106,50,6,3093538,"LINESTRING (71.10627429 40.88094522, 70.07422952 41.00845288)"
107,60,6,3093538,"LINESTRING (69.23343231 41.26065019, 70.07422952 41.00845288)"
108,53,2,2275000,"LINESTRING (60.31394877 47.04978092, 57.16692971 50.28388335)"
109,87,2,2275000,"LINESTRING (56.20262023 50.84645319, 57.16692971 50.28388335)"
110,57,28,200000,"LINESTRING (53.05863279 36.565873, 54.44019416 36.84348588)"
111,85,28,200000,"LINESTRING (54.07386257 37.06484182, 54.44019416 36.84348588)"
112,59,33,0,"LINESTRING (65.74920704 36.68168619, 62.20145163 34.33952939)"
113,79,33,4020458,"LINESTRING (64.40820458 31.60953352, 62.20145163 34.33952939)"
114,83,33,8525000,"LINESTRING (60.83747644 34.52863651, 62.20145163 34.33952939)"
115,66,12,9856584,"LINESTRING (59.21328001 35.27868594, 59.75 32.04)"
116,76,12,9856584,"LINESTRING (60.88055637 29.49568135, 59.75 32.04)"
117,76,20,9856584,"LINESTRING (60.88055637 29.49568135, 60.6459286 25.29687798)"
118,91,20,4411584,"LINESTRING (72.92574618 19.02476851, 60.6459286 25.29687798)"
119,93,20,5445000,"LINESTRING (60.7656735 14.76131335, 60.6459286 25.29687798)"
120,79,80,4020458,"LINESTRING (64.40820458 31.60953352, 64.0384184 29.4371003)"
121,81,80,4020458,"LINESTRING (62.29134860000001 25.23313981, 64.0384184 29.4371003)"
122,80,81,4020458,"LINESTRING (64.0384184 29.4371003, 62.29134860000001 25.23313981)"
123,90,81,6055458,"LINESTRING (67.00109753 24.89698664, 62.29134860000001 25.23313981)"
124,93,81,2035000,"LINESTRING (60.7656735 14.76131335, 62.29134860000001 25.23313981)"
125,81,90,6055458,"LINESTRING (62.29134860000001 25.23313981, 67.00109753 24.89698664)"
126,92,90,5000458,"LINESTRING (71.56378993 34.10942691, 67.00109753 24.89698664)"
127,87,48,2275000,"LINESTRING (56.20262023 50.84645319, 55.13169023 51.80194159)"
128,89,94,14221492,"LINESTRING (69.19380137 34.50670823, 71.11171118999999 34.19162304)"
129,92,94,14221492,"LINESTRING (71.56378993 34.10942691, 71.11171118999999 34.19162304)"
130,90,92,5000458,"LINESTRING (67.00109753 24.89698664, 71.56378993 34.10942691)"
131,94,92,14221492,"LINESTRING (71.11171118999999 34.19162304, 71.56378993 34.10942691)"
